# Ossuary rating table — generated by tools/FetchCodexData, do not edit
# snapshot	v26
# data_through	2026-08-25T16:34:38.319000
# total_runs	1416903
kind	bracket	character	id	score	win_rate	pick_rate	picks	tier
cards	all	all	GRAVE_WARDEN	38	39.7	35.1	138025	C
cards	all	all	GUARDS	81	52.5	25.1	26851	A
cards	all	all	GUIDING_STAR	31	37.4	10.7	45756	C
cards	all	all	GUNK_UP	22	34.7	11.3	45836	D
cards	all	all	HAILSTORM	39	39.8	20.1	39984	C
cards	all	all	HAMMER_TIME	70	49.2	30.5	12730	A
cards	all	all	HAND_OF_GREED	66	48	1.2	5099	B
cards	all	all	HAND_TRICK	44	41.5	20	35399	C
cards	all	all	HANG	63	47.1	33.3	27765	B
cards	all	all	HAUNT	45	41.6	24.1	44400	B
cards	all	all	HAVOC	21	34.6	6.2	25806	D
cards	all	all	HAZE	39	39.8	28	51157	C
cards	all	all	HEADBUTT	38	39.6	15.7	80161	C
cards	all	all	HEAVENLY_DRILL	59	45.9	22.3	11937	B
cards	all	all	HEGEMONY	31	37.3	16.6	24872	C
cards	all	all	HEIRLOOM_HAMMER	70	49.3	15.5	18725	A
cards	all	all	HELIX_DRILL	69	48.9	20.2	14104	A
cards	all	all	HELLRAISER	30	37	34.7	21630	C
cards	all	all	HEMOKINESIS	24	35.3	11.9	23999	D
cards	all	all	HIBERNATE	84	53.4	41.9	3828	A
cards	all	all	HIDDEN_CACHE	34	38.5	31.5	122631	C
cards	all	all	HIDDEN_DAGGERS	64	47.2	45.2	65250	B
cards	all	all	HIDDEN_GEM	74	50.3	13.9	25046	A
cards	all	all	HIGH_FIVE	39	39.8	24.6	37629	C
cards	all	all	HOLOGRAM	24	35.5	29.9	89039	D
cards	all	all	HOTFIX	20	34.3	23	79784	D
cards	all	all	HOWL_FROM_BEYOND	29	36.9	16.1	29322	C
cards	all	all	HUDDLE_UP	94	56.4	13.1	20726	S
cards	all	all	HYPERBEAM	37	39.4	8.9	9959	C
cards	all	all	ICE_LANCE	65	47.8	22.7	24599	B
cards	all	all	IGNITION	72	49.8	32.5	18707	A
cards	all	all	IMITATION_LEARNING	93	56.2	48.4	3538	S
cards	all	all	IMPATIENCE	84	53.4	5.2	11968	A
cards	all	all	IMPERVIOUS	76	50.9	32.1	39150	A
cards	all	all	INFERNAL_BLADE	23	35.2	26.6	36127	D
cards	all	all	INFERNO	35	38.7	19	33655	C
cards	all	all	INFINITE_BLADES	56	44.8	33.7	76150	B
cards	all	all	INFLAME	31	37.4	29.7	67388	C
cards	all	all	INTERCEPT	80	52.1	3.6	7622	A
cards	all	all	INVOKE	29	36.9	31.1	105163	C
cards	all	all	IRON_WAVE	22	34.6	14.3	65341	D
cards	all	all	ITERATION	53	44	19	40165	B
cards	all	all	I_AM_INVINCIBLE	68	48.7	23.3	26504	A
cards	all	all	JACKPOT	81	52.5	5.6	10941	A
